"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN145297_c11_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN145297_c11_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN145297_c11_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN144424_c2_g1_i2"	-0.811679449913428	0.0498575851013405
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN144424_c2_g1_i2"	-0.811679449913428	0.0498575851013405
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN144424_c2_g1_i2"	-0.811679449913428	0.0498575851013405
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN144424_c2_g1_i2"	-0.811679449913428	0.0498575851013405
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN134643_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN134643_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN134643_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN134643_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN144187_c0_g1_i10"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN144187_c0_g1_i10"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN144187_c0_g1_i10"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN144187_c0_g1_i10"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN145209_c1_g1_i7"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN145209_c1_g1_i7"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN145209_c1_g1_i7"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN145209_c1_g1_i7"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium"	"TRINITY_DN136668_c3_g2_i2"	-0.892369614796338	0.0167530384027113
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__adolescentis"	"TRINITY_DN136668_c3_g2_i2"	-0.925820099772552	0.0080498931008377
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN136668_c3_g2_i2"	-0.925820099772552	0.0080498931008377
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__"	"TRINITY_DN136668_c3_g2_i2"	-0.892369614796338	0.0167530384027113
"k__Bacteria.p__Firmicutes"	"TRINITY_DN138543_c2_g6_i1"	0.853310335187925	0.0306985629726779
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas"	"TRINITY_DN138543_c2_g6_i1"	0.906692829247048	0.0126531654142612
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__"	"TRINITY_DN138543_c2_g6_i1"	0.906692829247048	0.0126531654142612
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN142388_c1_g1_i2"	-0.898645105261295	0.0148886220055804
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN142388_c1_g1_i2"	-0.898645105261295	0.0148886220055804
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN142388_c1_g1_i2"	-0.898645105261295	0.0148886220055804
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN142388_c1_g1_i2"	-0.898645105261295	0.0148886220055804
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN143487_c2_g1_i3"	-0.833238089795296	0.0393955164788511
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN140952_c1_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN140952_c1_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN140952_c1_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN140952_c1_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes"	"TRINITY_DN145391_c5_g1_i6"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas"	"TRINITY_DN145391_c5_g1_i6"	0.898026510133875	0.0150676985628473
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__"	"TRINITY_DN145391_c5_g1_i6"	0.898026510133875	0.0150676985628473
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"TRINITY_DN145391_c5_g1_i9"	0.833238089795296	0.0393955164788511
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"TRINITY_DN145391_c5_g1_i9"	0.833238089795296	0.0393955164788511
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"TRINITY_DN145391_c5_g1_i9"	0.833238089795296	0.0393955164788511
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN145391_c5_g1_i9"	-0.925820099772552	0.0080498931008377
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN145391_c5_g1_i9"	-0.925820099772552	0.0080498931008377
"k__Bacteria.p__Bacteroidetes"	"TRINITY_DN145367_c3_g1_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia"	"TRINITY_DN145367_c3_g1_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales"	"TRINITY_DN145367_c3_g1_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium"	"TRINITY_DN145422_c2_g1_i12"	-0.924061655450546	0.00843099400894909
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__adolescentis"	"TRINITY_DN145422_c2_g1_i12"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN145422_c2_g1_i12"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__"	"TRINITY_DN145422_c2_g1_i12"	-0.924061655450546	0.00843099400894909
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN145854_c3_g1_i2"	-0.885714285714286	0.0188454810495626
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis"	"TRINITY_DN141075_c3_g1_i1"	0.898645105261295	0.0148886220055804
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN141075_c3_g1_i2"	0.880406274042429	0.0205987347749206
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN141075_c3_g1_i2"	0.880406274042429	0.0205987347749206
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium"	"TRINITY_DN144518_c0_g1_i3"	-0.831655489905492	0.0401243800094586
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__adolescentis"	"TRINITY_DN144518_c0_g1_i3"	-0.880406274042429	0.0205987347749206
