transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN143516_c6_g1_i3	1	0	1	24	0	0
TRINITY_DN1325184_c0_g1_i1	15	0	3	0	0	7
TRINITY_DN141241_c4_g5_i1	6	0	2	0	0	17
TRINITY_DN142371_c5_g1_i1	5	0	7	0	0	13
TRINITY_DN143949_c4_g1_i1	1	0	2	0	0	22
TRINITY_DN138312_c4_g6_i3	3	0	9	0	0	13
TRINITY_DN143948_c6_g3_i3	1	0	1	0	0	22
TRINITY_DN142193_c5_g3_i1	10	0	3	0	0	9
TRINITY_DN144196_c3_g1_i4	12	0	1	0	0	8
TRINITY_DN142922_c7_g5_i2	1	0	1	16	0	0
TRINITY_DN142655_c6_g9_i2	4	0	11	0	0	2
TRINITY_DN144971_c2_g1_i1	14	0	1	0	0	2
TRINITY_DN139333_c4_g6_i1	0	7	1	8	0	0
TRINITY_DN145016_c4_g1_i1	3	0	5	0	0	7
TRINITY_DN142175_c5_g7_i1	12	0	1	1	0	0
TRINITY_DN144811_c2_g1_i1	10	0	3	0	0	1
TRINITY_DN145049_c1_g1_i5	4	2	0	0	0	8
TRINITY_DN145429_c4_g2_i2	8	0	2	0	0	3
TRINITY_DN145141_c0_g1_i13	10	0	1	0	0	2
TRINITY_DN145209_c1_g1_i7	8	0	4	0	0	0
TRINITY_DN141429_c0_g1_i4	0	6	5	0	0	1
TRINITY_DN136603_c6_g1_i2	8	1	0	0	0	3
TRINITY_DN144978_c2_g1_i6	6	3	0	0	0	3
TRINITY_DN136118_c0_g1_i1	2	0	1	0	0	8
TRINITY_DN137350_c1_g1_i5	1	7	0	0	0	3
TRINITY_DN141378_c0_g1_i1	4	0	1	0	0	5
TRINITY_DN143948_c6_g3_i1	0	4	3	0	0	3
TRINITY_DN137631_c5_g1_i2	1	0	1	7	0	0
TRINITY_DN138131_c3_g1_i8	1	0	2	6	0	0
TRINITY_DN145422_c2_g1_i12	1	0	2	6	0	0
TRINITY_DN145373_c0_g1_i2	2	0	5	0	0	2
TRINITY_DN145717_c0_g1_i3	0	1	3	0	0	4
TRINITY_DN141456_c1_g2_i1	1	0	4	0	0	3
TRINITY_DN141948_c0_g1_i1	1	0	3	0	0	3
TRINITY_DN146136_c1_g1_i1	1	0	3	0	0	3
TRINITY_DN145227_c3_g1_i1	2	0	4	0	0	1
TRINITY_DN144057_c3_g1_i6	3	0	1	2	0	0
TRINITY_DN145289_c1_g1_i4	1	0	4	0	0	1
TRINITY_DN613632_c0_g1_i1	1	0	2	3	0	0
TRINITY_DN129538_c3_g1_i1	1	0	2	0	3	0
TRINITY_DN140335_c3_g1_i1	2	2	0	0	0	2
TRINITY_DN141022_c2_g2_i1	1	0	1	0	0	4
TRINITY_DN870186_c0_g1_i2	1	0	1	4	0	0
TRINITY_DN144974_c2_g2_i18	3	0	1	0	0	2
TRINITY_DN92149_c2_g3_i1	1	0	1	0	0	3
TRINITY_DN144728_c2_g1_i2	1	0	1	0	0	3
TRINITY_DN143511_c0_g1_i1	2	0	2	0	0	1
TRINITY_DN614298_c0_g1_i1	1	0	1	0	0	3
TRINITY_DN135554_c0_g1_i3	2	0	2	0	0	1
TRINITY_DN138543_c2_g6_i2	1	0	2	0	0	2
TRINITY_DN143899_c4_g1_i6	2	0	1	0	0	2
TRINITY_DN138920_c2_g1_i4	2	0	1	0	0	1
TRINITY_DN143974_c9_g2_i1	1	0	1	0	0	2
TRINITY_DN144098_c0_g1_i1	1	0	1	2	0	0
TRINITY_DN143487_c2_g1_i3	2	0	1	1	0	0
TRINITY_DN143846_c3_g1_i1	1	0	1	0	0	1
TRINITY_DN137096_c2_g1_i1	1	0	1	0	0	1
TRINITY_DN145645_c0_g1_i14	1	0	1	1	0	0
TRINITY_DN138200_c2_g1_i1	0	31	2	0	0	0
TRINITY_DN145477_c0_g1_i4	8	0	2	0	0	0
TRINITY_DN141713_c1_g2_i3	0	8	1	0	0	0
TRINITY_DN144474_c1_g1_i1	2	0	7	0	0	0
TRINITY_DN145297_c11_g1_i1	7	0	1	0	0	0
TRINITY_DN143683_c0_g1_i8	3	0	4	0	0	0
TRINITY_DN145420_c0_g1_i4	6	0	1	0	0	0
TRINITY_DN32023_c2_g1_i2	1	0	6	0	0	0
TRINITY_DN140952_c1_g1_i1	5	0	2	0	0	0
TRINITY_DN145174_c0_g1_i1	2	5	0	0	0	0
TRINITY_DN144747_c1_g1_i4	2	0	5	0	0	0
