transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN142178_c2_g1_i3	2	1	1	4	1	3
TRINITY_DN138200_c2_g1_i1	1	32	3	1	1	1
TRINITY_DN142309_c15_g5_i3	86	1	10	1	8	18
TRINITY_DN137350_c1_g1_i5	2	8	1	1	1	4
TRINITY_DN139333_c4_g6_i1	1	8	2	9	1	1
TRINITY_DN151468_c5_g1_i1	1	1	96	2	1	4
TRINITY_DN140874_c2_g1_i5	1	1	2	2	1	3
TRINITY_DN140874_c2_g1_i6	2	1	2	16	1	4
TRINITY_DN137133_c9_g1_i1	3	90	1	93	1	1
TRINITY_DN144937_c0_g1_i11	3	1	9	1	1	47
TRINITY_DN145016_c4_g1_i1	4	1	6	1	1	8
TRINITY_DN145016_c4_g1_i5	4	1	22	1	1	21
TRINITY_DN144974_c2_g2_i18	4	1	2	1	1	3
TRINITY_DN144971_c2_g1_i1	15	1	2	1	1	3
TRINITY_DN142115_c6_g1_i3	2	1	2	1	32	1
TRINITY_DN142033_c3_g2_i1	12	1	5	1	17	2
TRINITY_DN142033_c4_g1_i1	5	1	4	6	27	5
TRINITY_DN145774_c5_g2_i5	10	1	5	1	13	131
TRINITY_DN145741_c0_g1_i2	6	1	54	1	43	14
TRINITY_DN139116_c3_g1_i4	2	1	4	6	1	5
TRINITY_DN145435_c1_g1_i3	11	1	36	1	6	3
TRINITY_DN145502_c1_g1_i5	1	3	15	1	1	44
TRINITY_DN145467_c1_g1_i7	48	1	1	92	1	11
TRINITY_DN145457_c2_g1_i4	9	1	1	3	1	18
TRINITY_DN145458_c4_g1_i1	19	1	23	4	1	20
TRINITY_DN145477_c0_g1_i4	9	1	3	1	1	1
TRINITY_DN383657_c1_g2_i1	112	1	48	90	1	179
TRINITY_DN385865_c1_g1_i1	35	1	2	1	1	2
TRINITY_DN391824_c1_g1_i1	180	1	2	1	1	64
TRINITY_DN32023_c2_g1_i2	2	1	7	1	1	1
TRINITY_DN85531_c0_g1_i1	1	1	1	6	2	10
TRINITY_DN92149_c2_g3_i1	2	1	2	1	1	4
TRINITY_DN60060_c0_g9_i1	7	1	57	1	1	21
TRINITY_DN85643_c0_g1_i1	633	1	2	2	1	95
TRINITY_DN7230_c1_g2_i2	5	1	3	1	70	9
TRINITY_DN851511_c0_g1_i1	1	1	1	1	36	5
TRINITY_DN1090249_c1_g1_i1	9	1	2	107	1	1
TRINITY_DN1091132_c10_g1_i1	63	1	2	4602	1	27
