sequence	net_charge	gravy_index
TRINITY_DN144187_c0_g1_i10.p9	0.7600368331063541	-3.357142857142857
TRINITY_DN144196_c3_g1_i2.p5	3.764965811909209	-2.357142857142857
TRINITY_DN144196_c3_g1_i4.p6	3.764965811909209	-2.357142857142857
TRINITY_DN144291_c5_g7_i1.p3	-1.1574714436613789	-0.9650000000000001
TRINITY_DN144384_c5_g1_i3.p1	0.8513299414972746	0.14399999999999996
TRINITY_DN144415_c2_g1_i4.p3	-0.23394218174174952	-0.7137931034482758
TRINITY_DN144424_c2_g1_i2.p9	-0.24979937590970713	1.8142857142857143
TRINITY_DN144465_c6_g1_i3.p4	4.847881721595304	-0.3407407407407408
TRINITY_DN144474_c1_g1_i1.p8	0.49935568654234397	1.49
TRINITY_DN144483_c7_g1_i1.p5	-0.3272949379474833	0.6285714285714286
TRINITY_DN144518_c0_g1_i3.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144555_c1_g1_i8.p3	0.8518777255913075	-1.0555555555555556
TRINITY_DN144558_c2_g1_i2.p7	-1.2620903870317939	-0.42
TRINITY_DN144559_c1_g1_i11.p8	1.5011571476165524	-1.7222222222222223
TRINITY_DN144610_c1_g1_i1.p4	-1.2313652397502244	-1.3928571428571428
TRINITY_DN144624_c4_g1_i1.p5	1.499345686642343	0.5571428571428572
TRINITY_DN144633_c0_g1_i1.p3	1.768726520490615	-0.8902439024390244
TRINITY_DN144643_c3_g1_i1.p3	4.751255358837987	-0.8571428571428571
TRINITY_DN144653_c7_g8_i1.p24	-4.485854886830691	-2.2
TRINITY_DN144672_c0_g1_i1.p5	-0.23809692473648925	-0.6846153846153846
TRINITY_DN144673_c2_g1_i6.p4	-0.23897416579464625	-0.37058823529411766
TRINITY_DN144690_c1_g2_i6.p2	5.837970731596291	-0.28974358974358977
TRINITY_DN144690_c1_g2_i9.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144720_c1_g1_i6.p3	-0.22893842195594516	-0.005000000000000027
TRINITY_DN144747_c1_g1_i4.p3	3.7591395922481947	-1.7192307692307693
TRINITY_DN144754_c1_g1_i1.p8	-1.496713090544601	0.33999999999999997
TRINITY_DN144771_c2_g7_i2.p1	2.603091325029448	-0.56
TRINITY_DN144811_c2_g1_i1.p6	0.763013836303355	-0.75
TRINITY_DN144811_c2_g1_i2.p6	0.763013836303355	-0.75
TRINITY_DN144823_c1_g2_i1.p4	1.58651987489693	-0.7428571428571429
TRINITY_DN144825_c5_g1_i5.p7	-1.2731021381706473	2.2818181818181817
TRINITY_DN144878_c1_g1_i1.p9	2.75891607216651	-2.088888888888889
TRINITY_DN144897_c3_g1_i5.p10	1.5011571476165524	-1.7222222222222223
TRINITY_DN144937_c0_g1_i11.p13	1.4983566855433432	-1.64
TRINITY_DN144971_c2_g1_i1.p2	0.7572163712331426	-0.15416666666666667
TRINITY_DN144974_c2_g2_i18.p1	-2.139942772827148	-0.47741935483870973
TRINITY_DN145016_c4_g1_i1.p12	1.4983566855433432	-1.64
TRINITY_DN145016_c4_g1_i5.p11	1.4983566855433432	-1.64
TRINITY_DN145050_c1_g1_i3.p3	0.7989085699089822	-0.4827586206896552
TRINITY_DN145055_c3_g1_i3.p7	-0.49952355251781144	0.019999999999999973
TRINITY_DN145062_c3_g1_i3.p10	1.833830615700991	-3.7399999999999998
TRINITY_DN145141_c0_g1_i13.p2	0.767046819357251	-0.9800000000000001
TRINITY_DN145209_c1_g1_i7.p9	1.4983566855433432	-1.64
TRINITY_DN145228_c1_g1_i7.p6	-0.4996453124586552	1.875
TRINITY_DN145245_c6_g1_i2.p2	1.7584488922138295	-0.010344827586206905
TRINITY_DN145245_c6_g1_i5.p2	1.7584488922138295	-0.010344827586206905
TRINITY_DN145252_c3_g1_i1.p1	-1.9954339369250675	-0.4821917808219178
TRINITY_DN145261_c61_g1_i4.p3	0.498356685543343	1.3272727272727272
TRINITY_DN145264_c2_g1_i1.p4	-0.602802406632373	1.7227272727272727
TRINITY_DN145272_c4_g1_i1.p12	0.49935568654234397	1.78
TRINITY_DN145291_c1_g1_i10.p4	1.7618930753635103	-1.34
TRINITY_DN145291_c1_g1_i13.p4	2.7590826133903	-2.357142857142857
TRINITY_DN145291_c1_g1_i22.p5	-0.602802406632373	-0.02500000000000001
TRINITY_DN145292_c1_g1_i1.p9	-0.4978338514844458	0.21999999999999992
TRINITY_DN145297_c11_g1_i1.p3	0.8876506992560915	-0.43636363636363634
TRINITY_DN145300_c5_g1_i3.p9	1.5011571476165524	-2.033333333333333
TRINITY_DN145304_c3_g1_i2.p5	2.8498797235933053	-1.2999999999999998
TRINITY_DN145360_c4_g1_i1.p12	0.5865298747969309	-2.06
TRINITY_DN145367_c3_g1_i1.p12	1.3980100533428361	-2.3875
TRINITY_DN145373_c0_g1_i2.p5	2.4806192975078973	-1.6352941176470588
TRINITY_DN145389_c1_g1_i12.p8	1.5063944273840424	0.4666666666666666
TRINITY_DN145391_c5_g1_i6.p8	0.5039676095897625	-2.5777777777777775
TRINITY_DN145391_c5_g1_i9.p5	0.5039676095897625	-2.5777777777777775
TRINITY_DN145401_c1_g1_i2.p7	1.5011571476165524	-1.7222222222222223
TRINITY_DN145422_c2_g1_i12.p2	-0.43991792759885406	-0.7125
TRINITY_DN145435_c1_g1_i3.p6	-0.5062436410095181	0.012499999999999983
TRINITY_DN145457_c2_g1_i4.p3	4.762155349935998	-1.8076923076923077
TRINITY_DN145458_c4_g1_i1.p8	1.5063944273840424	0.4666666666666666
TRINITY_DN145467_c1_g1_i7.p6	0.7619030752635112	-1.9285714285714286
TRINITY_DN145477_c0_g1_i4.p4	-1.2620903870317939	0.020000000000000004
TRINITY_DN145502_c1_g1_i5.p5	0.763013836303355	-0.5636363636363636
TRINITY_DN145548_c0_g2_i1.p9	-1.4953436499115074	-0.82
TRINITY_DN145548_c1_g1_i5.p4	1.506384427484041	0.3333333333333333
TRINITY_DN145551_c2_g2_i1.p12	1.4983566855433432	-1.64
TRINITY_DN145575_c0_g1_i3.p4	0.502156148615553	-1.6777777777777778
TRINITY_DN145595_c1_g1_i27.p4	1.5011571476165524	-1.7222222222222223
TRINITY_DN145601_c1_g1_i10.p9	0.502156148615553	-0.7888888888888889
TRINITY_DN145645_c0_g1_i14.p9	-1.496834850485445	1.6749999999999998
TRINITY_DN145645_c0_g1_i6.p10	0.7591026131903019	0.32500000000000007
TRINITY_DN145655_c4_g1_i2.p3	3.584457091815979	-0.042307692307692296
TRINITY_DN145717_c0_g1_i3.p4	1.4814669274593748	-0.9666666666666667
TRINITY_DN145741_c0_g1_i2.p5	1.7620148353043539	-0.8869565217391304
TRINITY_DN145774_c5_g2_i5.p9	-3.1486712147022122	-0.4307692307692308
TRINITY_DN145839_c0_g1_i20.p2	1.0283828430972193	-0.6581395348837209
TRINITY_DN145854_c3_g1_i2.p7	0.8376300787732007	-1.9
TRINITY_DN145983_c5_g3_i1.p9	4.75521836923514	-1.5
TRINITY_DN151468_c5_g1_i1.p8	1.5063944273840424	0.4666666666666666
TRINITY_DN32023_c2_g1_i2.p1	5.752046421708903	-0.6012987012987012
TRINITY_DN383657_c1_g2_i1.p7	1.5011571476165524	-1.7222222222222223
TRINITY_DN385865_c1_g1_i1.p3	0.7631355962441981	-0.792
TRINITY_DN391824_c1_g1_i1.p3	0.8475093224255761	-0.3888888888888889
TRINITY_DN60060_c0_g9_i1.p12	3.7946790459312925	-2.92
TRINITY_DN612198_c2_g1_i1.p1	3.9380451106218395	-1.5414634146341464
TRINITY_DN612741_c0_g1_i1.p9	0.7591026131903019	-0.3
TRINITY_DN615414_c0_g1_i1.p9	1.499345686642343	0.35000000000000003
TRINITY_DN7230_c1_g2_i2.p9	0.5029786084907628	-1.0625
TRINITY_DN851511_c0_g1_i1.p12	-0.4996453124586552	1.3285714285714285
TRINITY_DN85531_c0_g1_i1.p5	-2.234277461864277	-0.5499999999999999
TRINITY_DN85643_c0_g1_i1.p5	5.760809293481559	-2.068
TRINITY_DN92149_c2_g3_i1.p6	-1.5049243796102456	0.1583333333333333
